API_ApplicationId,API_ApplicationReference,API_BrokerId,API_BrokerReference,API_BrokerName,API_MemberId,API_MemberReference,API_MemberName,API_Discriminator,API_ApplicationType,API_ApplicationProductType,API_ApplicationUnderwriterEmail,API_ApplicationFirstTransaction,API_PolicyStartDate,API_PolicyEndDate,API_IsRenewalApplication,API_RenewalFromPolicyReference
76183,1044653,882,119,SEALION SHIPPING,44864,73288,AMP Test Broker,Quote,P&I,Janie.Welsh@shipownersclub.com,275131,2021-03-18T12:00:00+00:00,2022-03-18T12:00:00+00:00,false
76182,1044652,780,104,POST & CO (P & I),31227,50700,Eleven Yachting Limited,Quote,YACHT,Nicola.Kingman@shipownersclub.com,275130,2021-03-16T12:00:00+00:00,2022-03-16T12:00:00+00:00,false
76181,1044651,639,1802,MARSH AFRICA,26622,12362,Manuel De Olim Cc,Policy,P&I,Mark.Greenland@shipownersclub.com,275123,2021-02-20T12:00:00+00:00,2022-02-20T12:00:00+00:00,true
76179,1044650,882,119,SEALION SHIPPING,44905,73329,Rohit Singh,Quote,P&I,Janie.Welsh@shipownersclub.com,275107,2021-02-22T12:00:00+00:00,2030-02-28T12:00:00+00:00,false
76178,1044649,780,104,POST & CO (P & I),31227,50700,Eleven Yachting Limited,Quote,P&I,Nicola.Kingman@shipownersclub.com,275106,2021-02-18T12:00:00+00:00,2022-02-18T12:00:00+00:00,false
76177,1044648,780,104,POST & CO (P & I),44904,73328,Test3Member Variation1,Policy,YACHT,Janie.Welsh@shipownersclub.com,0,2021-04-01T12:00:00+00:00,2022-04-01T12:00:00+00:00,true
76175,1044647,780,104,POST & CO (P & I),44904,73328,Test3Member Variation1,Quote,YACHT,Janie.Welsh@shipownersclub.com,275085,2021-01-01T12:00:00+00:00,2022-01-01T12:00:00+00:00,false
76174,1044646,780,104,POST & CO (P & I),44904,73328,Test3Member Variation1,Policy,YACHT,Janie.Welsh@shipownersclub.com,275083,2020-11-08T12:00:00+00:00,2021-04-01T12:00:00+00:00,false
76173,1044646,780,104,POST & CO (P & I),44904,73328,Test3Member Variation1,Quote,YACHT,Janie.Welsh@shipownersclub.com,275079,2020-11-08T12:00:00+00:00,2021-04-01T12:00:00+00:00,false
76172,1044645,780,104,POST & CO (P & I),44903,73327,Test2Member Altered,Policy,YACHT,Janie.Welsh@shipownersclub.com,0,2022-02-01T12:00:00+00:00,2023-02-01T12:00:00+00:00,true
